层,录波,方向,接口,最小值,最大值,变化次数,变化时刻_s,取值摘要,电压电流相关
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch13_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch13_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch13_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch13_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch13_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch14_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch14_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch14_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch14_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch14_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch15_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch15_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch15_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch15_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch15_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch16_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch16_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch16_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch16_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch16_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch17_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch17_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch17_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch17_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch17_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch18_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch18_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch18_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch18_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch18_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch19_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch19_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch19_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch19_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch19_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch20_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch20_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch20_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch20_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch20_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch21_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch21_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch21_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch21_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch21_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch22_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch22_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch22_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch22_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch22_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch23_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch23_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch23_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch23_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch23_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch24_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch24_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch24_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch24_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch24_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch25_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch25_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch25_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch25_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch25_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch26_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch26_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch26_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch26_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch26_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch27_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch27_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch27_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch27_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch27_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch28_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch28_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch28_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch28_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch28_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch29_PWM_Out_Frequency,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch29_PWM_Out_Duty_Ratio,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch29_PWM_Out_Amplitude,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch29_PWM_Out_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch29_PWM_Out_FIU,0,0,0,,{0},否
env,average,输入,env_1_Design/PWM Output/InPort/U_Ch30_PWM_Out_Frequency,0,0,0,,{0},否
env,average,内部/未标记,env_1_Design/PWM Output/Measurement/Processor,5,15,592,"0.341, 0.541, 0.741, 0.941, 1.141, 1.341, 1.541, 1.741, 1.941, 2.141 …",min=5; max=15; distinct=11,否
env,average,输入,env_1_Design/Relay/InPort/U_Ch1_Enable,0,0,0,,{0},否
env,average,输入,env_1_Design/Relay/InPort/U_Ch1_Relay_OutValue,0,0,0,,{0},否
