层,录波,方向,接口,最小值,最大值,变化次数,变化时刻_s,取值摘要,电压电流相关
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output32.U_Ch32_PWM_Out_Enable_Out,1,1,0,,{1},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output33.U_Ch33_PWM_Out_Frequency_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output33.U_Ch33_PWM_Out_Duty_Ratio_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output33.U_Ch33_PWM_Out_Amplitude_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output33.U_Ch33_PWM_Out_Enable_Out,1,1,0,,{1},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output34.U_Ch34_PWM_Out_Frequency_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output34.U_Ch34_PWM_Out_Duty_Ratio_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output34.U_Ch34_PWM_Out_Amplitude_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output34.U_Ch34_PWM_Out_Enable_Out,1,1,0,,{1},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output35.U_Ch35_PWM_Out_Frequency_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output35.U_Ch35_PWM_Out_Duty_Ratio_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output35.U_Ch35_PWM_Out_Amplitude_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output35.U_Ch35_PWM_Out_Enable_Out,1,1,0,,{1},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output36.U_Ch36_PWM_Out_Frequency_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output36.U_Ch36_PWM_Out_Duty_Ratio_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output36.U_Ch36_PWM_Out_Amplitude_Out,0,0,0,,{0},否
