"OutputName","OutputDataType","OutputGroup","OutputRefBlock","OutputInternalSymbol","InputName","InputDataType","InputGroup","InputRefBlock","InputInternalSymbol","DependencyKind","DependencyConfidence","Explanation","FaultInjectionHint","Evidence"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_OverOC_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC_1/DCDC_OverOC_ToBus","Veh_1_B.VCar_Outport_i2","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DCDC_OverOC_Value; Veh_1_P.OvrdVal_Value_e4p. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_i2"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_OverOV_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC_1/DCDC_OverOV_ToBus","Veh_1_B.VCar_Outport_je","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DCDC_OverOV_Value; Veh_1_P.OvrdVal_Value_p5. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_je"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_OverTemp_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC_1/DCDC_OverTemp_ToBus","Veh_1_B.VCar_Outport_d5","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DCDC_OverTemp_Value; Veh_1_P.OvrdVal_Value_lh. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_d5"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_RealityTemp_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC_1/DCDC_RealityTemp_ToBus","Veh_1_B.VCar_Outport_ifs","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DCDC_RealityTemp_Value; Veh_1_P.OvrdVal_Value_om. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_ifs"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_stsError_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC_1/DCDC_stsError_ToBus","Veh_1_B.VCar_Outport_jc","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DCDC_stsError_Value; Veh_1_P.OvrdVal_Value_hv. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_jc"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_UnderIV_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC_1/DCDC_UnderIV_ToBus","Veh_1_B.VCar_Outport_ev","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DCDC_UnderIV_Value; Veh_1_P.OvrdVal_Value_ne2. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_ev"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_UnderOV_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC_1/DCDC_UnderOV_ToBus","Veh_1_B.VCar_Outport_bcu","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DCDC_UnderOV_Value; Veh_1_P.OvrdVal_Value_kw. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_bcu"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1_MsgEnable.DCDC_1_MsgDisable","Bool","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC_1_MsgEnable/DCDC_1_MsgDisable","Veh_1_B.VCar_Outport_pum","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.body_out_MsgEnable_Value; Veh_1_P.DCDC_1EnableOvrdVal_Value; Veh_1_P.DCDC_MsgEnable_Value; Veh_1_P.OvrdVal_Value_bp; Veh_1_P.OvrdVal_Value_ez. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_pum"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_AverageTemp_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC1_1/DC1_AverageTemp_ToBus","Veh_1_B.VCar_Outport_lkp","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DC1_AverageTemp_Value; Veh_1_P.OvrdVal_Value_oz. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_lkp"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_ChargingTime_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC1_1/DC1_ChargingTime_ToBus","Veh_1_B.VCar_Outport_b4n","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DC1_ChargingTime_Value; Veh_1_P.OvrdVal_Value_izu. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_b4n"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_ChgConnectSts_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC1_1/DC1_ChgConnectSts_ToBus","Veh_1_B.VCar_Outport_gd","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DC1_ChgConnectSts_Value; Veh_1_P.OvrdVal_Value_nh. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_gd"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_Faultcode_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC1_1/DC1_Faultcode_ToBus","Veh_1_B.VCar_Outport_n4","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DC1_Faultcode_Value; Veh_1_P.OvrdVal_Value_jl. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_n4"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_OutputCurr_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC1_1/DC1_OutputCurr_ToBus","Veh_1_B.VCar_Outport_jme","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DC1_OutputCurr_Value; Veh_1_P.OvrdVal_Value_en. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_jme"
"Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_OutputVoltage_ToBus","Double","Body CAN output","Veh_1/ToVCU/bodyCAN_out/SoftDCDCDataToBus/DCDC1_1/DC1_OutputVoltage_ToBus","Veh_1_B.VCar_Outport_dm","<none>","","","","","Parameter/state only","Static generated-C data flow","No external model input was reached. Terminal/unresolved nodes: Veh_1_P.DC1_OutputVoltage_Value; Veh_1_P.OvrdVal_Value_fmm. Use runtime testing before treating this output as an injection observation.","Prefer outputs with a resolved external input in the same function chain for initial injection tests.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_dm"
