输出接口,最小值,最大值,总变化次数,注入后窗口内变化次数,窗口内变化时刻_s,取值摘要
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_2.OBC_TempSts_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_2.OBC_Temp_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_2_MsgEnable.OBC_2_MsgDisable,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_3.OBC_ACInputVoltage_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_3.OBC_BatteryVoltage_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_3.OBC_CurrentLimit_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_3.OBC_ErrorFlag_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_3.OBC_PFCVoltage_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_3_MsgEnable.OBC_3_MsgDisable,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_4.OBC_ACInputCurrent_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_4.OBC_BMSWakeSts_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_4.OBC_CCSts_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_4.OBC_ChrgPiletMaxCurr_ToBus,60,60,0,0,,{60}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_4.OBC_ChrgPortTemp1_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_4.OBC_ChrgPortTemp2_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_4.OBC_CPDuty_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_4.OBC_Faultlevel_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_4.OBC_S2Sts_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_4.Unused_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftOBCDataToBus.OBC_4_MsgEnable.OBC_4_MsgDisable,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output1.BRKWeak,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output1.U_DO_Ch1_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output2.BRKStr,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output2.U_DO_Ch2_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output3.U_DO_Ch3_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output3.U_DO_Ch3_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output4.U_DO_Ch4_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output4.U_DO_Ch4_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output5.U_DO_Ch5_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output5.U_DO_Ch5_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output6.U_DO_Ch6_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output6.U_DO_Ch6_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output7.U_DO_Ch7_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output7.U_DO_Ch7_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output8.U_DO_Ch8_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output8.U_DO_Ch8_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output9.U_DO_Ch9_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output9.U_DO_Ch9_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output10.U_DO_Ch10_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output10.U_DO_Ch10_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output11.U_DO_Ch11_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output11.U_DO_Ch11_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output12.U_DO_Ch12_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output12.U_DO_Ch12_OutCmd_Out,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output13.U_DO_Ch13_Enable_Out,1,1,0,0,,{1}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.Digital Output.Digital Output13.U_DO_Ch13_OutCmd_Out,0,0,0,0,,{0}
